MovieName,MovieYear,MovieReleaseDate
MovieName,MovieYear,MovieReleaseDate
1. The Shawshank Redemption,1994,"October 14, 1994 (India)"
4. The Godfather: Part II,1974,1979 (India)
6. Schindler's List,1993,"December 15, 1993 (India)"
5. 12 Angry Men,1957,"April 10, 1957 (United States)"
9. The Lord of the Rings: The Fellowship of the Ring,2001,"March 15, 2002 (India)"
8. Pulp Fiction,1994,"October 14, 1994 (India)"
2. The Godfather,1972,1978 (India)
3. The Dark Knight,2008,"July 18, 2008 (India)"
7. The Lord of the Rings: The Return of the King,2003,"February 6, 2004 (India)"
18. GoodFellas,1990,"July 31, 2019 (India)"
17. The Matrix,1999,"May 31, 2020 (India)"
16. Star Wars: Episode V - The Empire Strikes Back,1980,"December 10, 1980 (India)"
14. Inception,2010,"July 16, 2010 (India)"
13. Fight Club,1999,"October 15, 1999 (India)"
12. The Lord of the Rings: The Two Towers,2002,"March 28, 2003 (India)"
249. Dances with Wolves,1990,"November 21, 1990 (United States)"
247. It Happened One Night,1934,"February 22, 1934 (United States)"
248. Aladdin,1992,"December 23, 1994 (India)"
246. The Help,2011,"November 25, 2011 (India)"
245. The Iron Giant,1999,"August 6, 1999 (United States)"
"250. Paris, Texas",1984,"August 23, 1984 (United Kingdom)"
15. Dune: Part Two,2024,"March 1, 2024 (India)"
243. Rebecca,1940,1940 (India)
242. Amores perros,2000,"June 16, 2000 (Mexico)"
244. Cool Hand Luke,1967,"November 1, 1967 (United States)"
239. The Grapes of Wrath,1940,"March 15, 1940 (United States)"
238. To Be or Not to Be,1942,"March 6, 1942 (United States)"
240. La battaglia di Algeri,1966,"September 9, 1966 (Italy)"
241. Groundhog Day,1993,"February 12, 1993 (United States)"
237. The Sound of Music,1965,"March 22, 2014 (India)"
236. My Father and My Son,2005,"November 18, 2005 (Turkey)"
235. Into the Wild,2007,"July 31, 2018 (India)"
233. Hachi: A Dog's Tale,2009,"October 4, 2017 (India)"
232. The Incredibles,2004,"November 5, 2004 (United States)"
229. Network,1976,"November 27, 1976 (United States)"
231. The Wizard of Oz,1939,"January 6, 1952 (India)"
234. Ah-ga-ssi,2016,"August 25, 2016 (India)"
227. Rush,2013,"September 20, 2013 (India)"
230. Stand by Me,1986,1987 (India)
228. Jai Bhim,2021,"November 2, 2021 (India)"
226. Pirates of the Caribbean: The Curse of the Black Pearl,2003,"August 15, 2003 (India)"
225. The Exorcist,1973,"August 27, 1977 (India)"
224. The Best Years of Our Lives,1946,"May 29, 1947 (Mexico)"
222. Before Sunset,2004,"July 30, 2004 (United States)"
219. Platoon,1986,"February 13, 1989 (India)"
220. The Terminator,1984,"October 26, 1984 (United States)"
218. Hotel Rwanda,2004,"February 4, 2005 (United States)"
214. Det Sjunde Inseglet,1957,"February 16, 1957 (Sweden)"
221. La passion de Jeanne d'Arc,1928,"October 25, 1928 (France)"
217. Spotlight,2015,"February 19, 2016 (India)"
215. Rocky,1976,"December 3, 1976 (United States)"
223. La haine,1995,"June 25, 1996 (India)"
216. Logan,2017,"March 3, 2017 (India)"
213. Tokyo Story,1953,"November 3, 1953 (Japan)"
212. Room,2015,"January 29, 2016 (India)"
211. The Big Lebowski,1998,"December 21, 2019 (India)"
209. Ratatouille,2007,"August 24, 2007 (India)"
210. Ford v. Ferrari,2019,"November 15, 2019 (India)"
208. Mr. Smith Goes to Washington,1939,"October 19, 1939 (United States)"
207. Mary and Max,2009,"April 9, 2009 (Australia)"
206. How to Train Your Dragon,2010,"April 16, 2010 (India)"
205. Jaws,1975,"December 26, 1975 (India)"
203. Smultronstället,1957,"December 26, 1957 (Sweden)"
201. Sherlock Jr.,1924,"May 11, 1924 (United States)"
202. The Third Man,1949,"September 3, 1949 (Turkey)"
"200. Monsters, Inc.",2001,"June 23, 2002 (India)"
198. Relatos Salvajes,2014,"August 21, 2014 (Argentina)"
204. Le Salaire De La Peur,1953,"September 23, 1955 (India)"
199. Mad Max: Fury Road,2015,"May 15, 2015 (India)"
197. The Deer Hunter,1978,"February 23, 1979 (United States)"
196. The General,1926,"January 2, 1927 (United States)"
195. On the Waterfront,1954,"October 12, 1954 (India)"
193. In the Name of the Father,1993,"December 27, 1993 (Ireland)"
192. Salinui Chueok,2003,"May 2, 2003 (South Korea)"
190. Hacksaw Ridge,2016,"December 16, 2016 (India)"
194. Dead Poets Society,1989,"February 15, 2021 (India)"
189. Gone Girl,2014,"October 31, 2014 (India)"
185. Before Sunrise,1995,"December 9, 2019 (India)"
187. The Grand Budapest Hotel,2014,"July 25, 2014 (India)"
186. Ben-Hur,1959,"November 18, 1959 (Canada)"
188. Barry Lyndon,1975,1977 (India)
183. 12 Years a Slave,2013,"January 31, 2014 (India)"
182. Bacheha-Ye Aseman,1997,1997 (Iran)
184. Blade Runner,1982,"June 25, 2020 (India)"
191. The Gold Rush,1925,"August 16, 1925 (United States)"
181. Harry Potter and the Deathly Hallows: Part 2,2011,"July 15, 2011 (India)"
179. My Neighbour Totoro,1988,"February 1, 2020 (India)"
178. Gran Torino,2008,"March 13, 2009 (India)"
180. Million Dollar Baby,2004,"March 11, 2005 (India)"
176. Catch Me If You Can,2002,"April 30, 2020 (India)"
177. Godzilla Minus One,2023,"November 3, 2023 (Japan)"
175. Warrior,2011,"October 31, 2015 (India)"
173. Fargo,1996,"April 5, 1996 (United States)"
174. Klaus,2019,"November 16, 2019 (India)"
172. Spider-Man: No Way Home,2021,"December 16, 2021 (India)"
170. Trainspotting,1996,"February 23, 1996 (United Kingdom)"
171. The Bridge on the River Kwai,1957,"December 28, 1957 (India)"
168. Raging Bull,1980,"December 19, 1980 (United States)"
"169. Three Billboards Outside Ebbing, Missouri",2017,"February 23, 2018 (India)"
166. El Secreto De Sus Ojos,2009,"August 13, 2009 (Argentina)"
167. Inside Out,2015,"June 26, 2015 (India)"
"165. Lock, Stock and Two Smoking Barrels",1998,"August 28, 1998 (United Kingdom)"
164. V for Vendetta,2005,"October 4, 2017 (India)"
163. Gone with the Wind,1939,"July 8, 2020 (India)"
162. Dial M for Murder,1954,"July 24, 2020 (India)"
158. Prisoners,2013,"September 27, 2013 (India)"
161. Chinatown,1974,"February 9, 2013 (India)"
160. The Elephant Man,1980,1983 (India)
157. Rashōmon,1950,"August 26, 1950 (Japan)"
159. Hauru No Ugoku Shiro,2004,"April 1, 2020 (India)"
155. The Great Escape,1963,"July 4, 1963 (United States)"
156. Finding Nemo,2003,"October 24, 2003 (India)"
152. Kill Bill: Vol. 1,2003,"October 10, 2003 (United States)"
153. Yojimbo,1961,"April 25, 1961 (Japan)"
151. The Treasure of the Sierra Madre,1948,"January 24, 1948 (United States)"
154. Monty Python and the Holy Grail,1975,"December 6, 1979 (India)"
150. The Thing,1982,"December 10, 1982 (India)"
147. Unforgiven,1992,"October 9, 2020 (India)"
149. A Beautiful Mind,2001,"October 9, 2020 (India)"
145. The Sixth Sense,1999,"May 21, 2019 (India)"
148. No Country for Old Men,2007,"January 18, 2008 (India)"
143. Ran,1985,"June 1, 1985 (Japan)"
144. Jurassic Park,1993,"April 15, 1994 (India)"
146. El Laberinto Del Fauno,2006,"August 6, 2018 (India)"
141. There Will Be Blood,2007,"January 30, 2008 (India)"
140. Shutter Island,2010,"June 4, 2010 (India)"
139. Top Gun: Maverick,2022,"May 27, 2022 (India)"
142. Casino,1995,"July 3, 2013 (India)"
136. Judgment at Nuremberg,1961,"December 18, 1961 (Sweden)"
137. All About Eve,1950,"May 1, 1951 (India)"
135. The Father,2020,"April 23, 2021 (India)"
134. The Kid,1921,"October 7, 2015 (India)"
133. Green Book,2018,"November 21, 2018 (India)"
138. The Truman Show,1998,"November 14, 1998 (India)"
132. Some Like It Hot,1959,"March 19, 1959 (United States)"
129. Per qualche dollaro in più,1965,"July 1, 2023 (Italy)"
131. The Wolf of Wall Street,2013,"January 3, 2014 (India)"
128. Dangal,2016,"December 23, 2016 (India)"
127. Der Untergang,2004,"July 4, 2006 (India)"
130. Batman Begins,2005,"June 17, 2005 (India)"
126. Taxi Driver,1976,"March 13, 1978 (India)"
125. 1917,2019,"January 17, 2020 (India)"
124. Ladri Di Biciclette,1948,"November 24, 1948 (Italy)"
121. Snatch,2000,"October 31, 2019 (India)"
120. Taare Zameen Par,2007,"December 21, 2007 (India)"
118. Die Hard,1988,"February 14, 2013 (India)"
122. Hamilton,2020,"July 3, 2020 (India)"
117. Indiana Jones and the Last Crusade,1989,"July 26, 1990 (India)"
119. Metropolis,1927,"February 6, 1927 (France)"
116. Jodaeiye Nader Az Simin,2011,"October 29, 2012 (India)"
123. L.A. Confidential,1997,"September 19, 1997 (United States)"
115. The Sting,1973,"December 25, 1973 (United States)"
112. Heat,1995,"December 15, 1995 (United States)"
110. Full Metal Jacket,1987,"July 10, 1987 (United States)"
111. A Clockwork Orange,1971,"October 4, 2017 (India)"
108. Scarface,1983,1990 (India)
114. To Kill a Mockingbird,1962,"March 6, 1963 (India)"
109. Le fabuleux destin d'Amélie Poulain,2001,"April 25, 2001 (France)"
113. Up,2009,"September 11, 2009 (India)"
107. Double Indemnity,1944,"July 6, 1944 (United States)"
105. Vertigo,1958,"October 30, 2014 (India)"
103. Citizen Kane,1941,"October 13, 2020 (India)"
106. M - Eine Stadt sucht einen Mörder,1931,"August 31, 1931 (Sweden)"
102. North by Northwest,1959,"December 18, 1959 (United States)"
104. Incendies,2010,"September 12, 2020 (India)"
101. The Apartment,1960,"June 29, 1960 (Canada)"
100. Lawrence of Arabia,1962,"July 30, 2016 (India)"
99. Ikiru,1952,"October 9, 1952 (Japan)"
97. 2001: A Space Odyssey,1968,"October 4, 2017 (India)"
95. Eternal Sunshine of the Spotless Mind,2004,"December 15, 2019 (India)"
96. Jagten,2012,"January 10, 2013 (Denmark)"
94. Star Wars: Episode VI - Return of the Jedi,1983,"December 16, 1983 (India)"
93. Toy Story 3,2010,"June 25, 2010 (India)"
92. Idi I Smotri,1985,"September 3, 1985 (Philippines)"
91. Requiem for a Dream,2000,"October 4, 2017 (India)"
90. Oppenheimer,2023,"July 21, 2023 (India)"
89. Capharnaüm,2018,"June 21, 2019 (India)"
87. 3 Idiots,2009,"December 25, 2009 (India)"
88. Singin' in the Rain,1952,"April 10, 1952 (United States)"
98. Reservoir Dogs,1992,"September 2, 1992 (India)"
86. Tengoku to Jigoku,1963,"March 1, 1963 (Japan)"
82. Mononoke-hime,1997,"March 2, 2020 (India)"
84. Kimi No Na Wa.,2016,"August 26, 2016 (Japan)"
81. Joker,2019,"October 2, 2019 (India)"
80. Avengers: Endgame,2019,"April 26, 2019 (India)"
83. Good Will Hunting,1997,"January 9, 1998 (United States)"
79. Braveheart,1995,"June 22, 1995 (India)"
76. Amadeus,1984,"September 19, 1984 (United States)"
77. Toy Story,1995,"November 22, 1995 (United States)"
85. Once Upon a Time in America,1984,"June 1, 1984 (United States)"
74. Oldeuboi,2003,"October 4, 2017 (India)"
75. Coco,2017,"November 24, 2017 (India)"
73. American Beauty,1999,"April 1, 2020 (India)"
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"January 29, 1964 (United Kingdom)"
71. The Dark Knight Rises,2012,"July 20, 2012 (India)"
70. Inglourious Basterds,2009,"October 2, 2009 (India)"
69. Alien 2,1986,"July 11, 1987 (India)"
68. The Great Dictator,1940,"March 7, 1941 (United States)"
67. The Shining,1980,"October 4, 2017 (India)"
66. Witness for the Prosecution,1957,"February 6, 1958 (United States)"
63. Paths of Glory,1957,"December 25, 1957 (United States)"
65. Spider-Man: Into the Spider-Verse,2018,"December 14, 2018 (India)"
64. Avengers: Infinity War,2018,"April 27, 2018 (India)"
62. Sunset Blvd.,1950,"August 4, 1950 (Turkey)"
59. WALL·E,2008,"August 29, 2008 (India)"
58. 12th Fail,2023,"October 27, 2023 (India)"
60. Raiders of the Lost Ark,1981,"December 10, 1981 (India)"
57. Memento,2000,"October 20, 2000 (India)"
55. Apocalypse Now,1979,"August 15, 1979 (United States)"
56. Django Unchained,2012,"March 22, 2013 (India)"
53. Alien,1979,"December 6, 1979 (India)"
54. City Lights,1931,"March 7, 1931 (United States)"
52. C'era Una Volta Il West,1968,"September 24, 1969 (India)"
51. Rear Window,1954,"September 1, 1954 (United States)"
50. Modern Times,1936,"February 25, 1936 (United States)"
49. Cinema Paradiso,1988,"November 17, 1988 (Italy)"
47. Casablanca,1942,"January 23, 1943 (United States)"
48. Intouchables,2011,"July 13, 2012 (India)"
46. The Usual Suspects,1995,"May 10, 1996 (India)"
45. Seppuku,1962,"September 16, 1962 (Japan)"
44. Grave of the Fireflies,1988,"April 16, 1988 (Japan)"
41. American History X,1998,"September 21, 1999 (India)"
42. Whiplash,2014,"February 20, 2015 (India)"
40. The Departed,2006,"October 31, 2007 (India)"
43. The Prestige,2006,"October 20, 2006 (India)"
38. The Lion King,1994,"October 29, 1994 (India)"
39. Léon,1994,"September 23, 1996 (India)"
36. Spider-man: Across the Spider-verse,2023,"June 1, 2023 (India)"
37. Gladiator,2000,"September 1, 2000 (India)"
35. Psycho,1960,"May 24, 2020 (India)"
33. The Pianist,2002,"April 3, 2019 (India)"
34. Parasite,2019,"January 31, 2020 (India)"
31. Back to the Future,1985,"December 9, 1986 (India)"
28. The Green Mile,1999,"March 16, 2000 (India)"
30. Star Wars: Episode IV - A New Hope,1977,"July 1, 1978 (India)"
29. Terminator 2: Judgment Day,1991,"August 24, 1991 (India)"
32. Spirited Away,2001,"March 1, 2020 (India)"
27. Life Is Beautiful,1997,"September 18, 2000 (India)"
26. City of God,2002,"January 18, 2007 (India)"
23. Shichinin No Samurai,1954,"April 26, 1954 (Japan)"
25. Saving Private Ryan,1998,"March 26, 1999 (India)"
24. The Silence of the Lambs,1991,"February 14, 1991 (United States)"
21. Interstellar,2014,"November 7, 2014 (India)"
22. It's a Wonderful Life,1946,"January 7, 1947 (United States)"
19. One Flew Over the Cuckoo's Nest,1975,"March 10, 1977 (India)"
"10. Il Buono, Il Brutto, Il Cattivo",1966,"April 15, 1969 (India)"
20. Se7en,1995,"September 22, 1995 (India)"
11. Forrest Gump,1994,"September 12, 2014 (India)"
78. Das Boot,1981,"February 17, 1982 (France)"
61. Das Leben der Anderen,2006,"March 23, 2006 (Germany)"
